date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:03	65992/65992	---M--	200	added ('OK')	image/jpeg	etag:%2240367c-101c8-5e3c0a5e49400%22	https://templemitra.com/files/assets/images/product/51134templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/51134templemitra.jpg	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:04	252017/252017	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:03%20GMT	https://templemitra.com/holiday-packages/rajasthan-tour-packages/best-selling-jodhpur-jaisalmer-package-3-nights-4-days	/Users/sherlock/Documents/webcopy/templemitra.com/holiday-packages/rajasthan-tour-packages/best-selling-jodhpur-jaisalmer-package-3-nights-4-days.html	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:05	98684/98684	---M--	200	added ('OK')	image/jpeg	etag:%2240360b-1817c-5e3c0a0a5ce00%22	https://templemitra.com/files/assets/images/product/79905templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/79905templemitra.jpg	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:06	253645/253645	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:05%20GMT	https://templemitra.com/holiday-packages/rajasthan-tour-packages/udaipur-delight-package-with-kumbhalgarh-and-chittorgarh-4-nights-5-days	/Users/sherlock/Documents/webcopy/templemitra.com/holiday-packages/rajasthan-tour-packages/udaipur-delight-package-with-kumbhalgarh-and-chittorgarh-4-nights-5-days.html	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:07	120673/120673	---M--	200	added ('OK')	image/jpeg	etag:%22403892-1d761-5e3c137540600%22	https://templemitra.com/files/assets/images/product/88242templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/88242templemitra.jpg	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:07	251129/251129	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:07%20GMT	https://templemitra.com/holiday-packages/rajasthan-tour-packages/royal-ranthambore-jaipur-package-3-nights-4-days-ex-delhi	/Users/sherlock/Documents/webcopy/templemitra.com/holiday-packages/rajasthan-tour-packages/royal-ranthambore-jaipur-package-3-nights-4-days-ex-delhi.html	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:09	162850/162850	---M--	200	added ('OK')	image/jpeg	etag:%2240379a-27c22-5e3c160190900%22	https://templemitra.com/files/assets/images/product/58512templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/58512templemitra.jpg	(from https://templemitra.com/holiday-packages/rajasthan-tour-packages)
00:37:09	28794/28794	---M--	200	added ('OK')	image/webp	etag:%22403b89-707a-6150832b665c0%22	https://templemitra.com/files/assets/images/mald1%20(3)%20(1).webp	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/mald1%20(3)%20(1).webp	(from https://templemitra.com/international-packages)
00:37:12	151727/151727	---M--	200	added ('OK')	image/jpeg	etag:%22240259-250af-62c6d5c9d6687%22	https://templemitra.com/files/assets/images/submenu/dubai.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/submenu/dubai.jpg	(from https://templemitra.com/international-packages)
00:37:12	379968/379968	---M--	200	added ('OK')	image/jpeg	etag:%22403a28-5cc40-5bb2280ef4580%22	https://templemitra.com/files/assets/images/submenu/193.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/submenu/193.jpg	(from https://templemitra.com/international-packages)
00:37:15	183321/183321	---M--	200	added ('OK')	text/html	etag:%22240258-2cc19-62c6d8e910fff%22	https://templemitra.com/files/assets/images/submenu/mal_l.avif	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/submenu/mal_l.html	(from https://templemitra.com/international-packages)
00:37:16	760742/760742	---M--	200	added ('OK')	image/jpeg	etag:%22241381-b9ba6-629892d06ead0%22	https://templemitra.com/files/assets/images/submenu/Bali_banner2.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/submenu/Bali_banner2.jpg	(from https://templemitra.com/international-packages)
00:37:17	248046/248046	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:16%20GMT	https://templemitra.com/international-packages/bali-tour-packages/my-bali-my-way	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/bali-tour-packages/my-bali-my-way.html	(from https://templemitra.com/international-packages/bali-tour-packages)
00:37:17	3570338/3570338	---M--	200	added ('OK')	image/jpeg	etag:%2224025f-367aa2-62c6d7ad14d7c%22	https://templemitra.com/files/assets/images/submenu/Thai-banner.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/submenu/Thai-banner.jpg	(from https://templemitra.com/international-packages)
00:37:18	98854/98854	---M--	200	added ('OK')	image/jpeg	etag:%22403829-18226-624cfa406c040%22	https://templemitra.com/files/assets/images/product/6621templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/6621templemitra.jpg	(from https://templemitra.com/international-packages/bali-tour-packages)
00:37:19	246698/246698	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:18%20GMT	https://templemitra.com/international-packages/bali-tour-packages/quick-adventure-getaway	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/bali-tour-packages/quick-adventure-getaway.html	(from https://templemitra.com/international-packages/bali-tour-packages)
00:37:20	72419/72419	---M--	200	added ('OK')	image/jpeg	etag:%22403935-11ae3-624d0d6cfbd00%22	https://templemitra.com/files/assets/images/product/17945templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/17945templemitra.jpg	(from https://templemitra.com/international-packages/bali-tour-packages)
00:37:21	254449/254449	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:20%20GMT	https://templemitra.com/international-packages/dubai-tour-package/dubai-desert-blooms-with-luxury	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/dubai-tour-package/dubai-desert-blooms-with-luxury.html	(from https://templemitra.com/international-packages/dubai-tour-package)
00:37:22	77137/77137	---M--	200	added ('OK')	image/jpeg	etag:%224037cd-12d51-6254c35d297c0%22	https://templemitra.com/files/assets/images/product/93999templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/93999templemitra.jpg	(from https://templemitra.com/international-packages/dubai-tour-package)
00:37:23	252051/252051	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:22%20GMT	https://templemitra.com/international-packages/dubai-tour-package/dubai-dazzles-with-opulence-and-innovation	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/dubai-tour-package/dubai-dazzles-with-opulence-and-innovation.html	(from https://templemitra.com/international-packages/dubai-tour-package)
00:37:24	56358/56358	---M--	200	added ('OK')	image/jpeg	etag:%22403980-dc26-62535df4b1c80%22	https://templemitra.com/files/assets/images/product/87259templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/87259templemitra.jpg	(from https://templemitra.com/international-packages/dubai-tour-package)
00:37:24	265136/265136	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:24%20GMT	https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-helicopter-tour-package-from-lucknow	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-helicopter-tour-package-from-lucknow.html	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:26	65370/65370	---M--	200	added ('OK')	image/jpeg	etag:%22403870-ff5a-5b47282f63c00%22	https://templemitra.com/files/assets/images/product/3190templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/3190templemitra.jpg	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:28	261430/261430	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:27%20GMT	https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-helicopter-tour-package-from-kathmandu	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-helicopter-tour-package-from-kathmandu.html	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:29	73215/73215	---M--	200	added ('OK')	image/jpeg	etag:%2240376c-11dff-5b472b300d180%22	https://templemitra.com/files/assets/images/product/55107templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/55107templemitra.jpg	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:30	263368/263368	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:29%20GMT	https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-overland-tour-package-from-kathmandu	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-overland-tour-package-from-kathmandu.html	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:31	74011/74011	---M--	200	added ('OK')	image/jpeg	etag:%22403925-1211b-5b472d129c400%22	https://templemitra.com/files/assets/images/product/87557templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/87557templemitra.jpg	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:32	270323/270323	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2007:37:31%20GMT	https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-overland-tour-with-muktinath-darshan	/Users/sherlock/Documents/webcopy/templemitra.com/international-packages/kailash-mansarovar-yatra-packages/kailash-mansarovar-overland-tour-with-muktinath-darshan.html	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
00:37:33	90195/90195	---M--	200	added ('OK')	image/jpeg	etag:%22403922-16053-5b4731fd75e00%22	https://templemitra.com/files/assets/images/product/5546templemitra.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/product/5546templemitra.jpg	(from https://templemitra.com/international-packages/kailash-mansarovar-yatra-packages)
